place;country;date
Banino;pl;20130524
Matarnia;pl;20130524
Matarnia;pl;20130526
Banino;pl;20130526
Miszewo;pl;20130526
Chwaszczyno;pl;20130526
Osowa;pl;20130527
Chwaszczyno;pl;20130527
Bojano;pl;20130527
Koleczkowo;pl;20130527
Wiczlino;pl;20130527
Osowa;pl;20130529
Osowa;pl;20130530
Barniewice;pl;20130530
Banino;pl;20130530
Miszewo;pl;20130530
Czeczewo;pl;20130530
Kielno;pl;20130530
Chwaszczyno;pl;20130530
Matarnia;pl;20130531
Osowa;pl;20130531
Matarnia;pl;20130601
Banino;pl;20130601
Pêpowo;pl;20130601
Miszewo;pl;20130601
Chwaszczyno;pl;20130601
Matarnia;pl;20130602
Banino;pl;20130602
Miszewo;pl;20130602
Chwaszczyno;pl;20130602
Osowa;pl;20130603
Chwaszczyno;pl;20130603
Bojano;pl;20130603
Koleczkowo;pl;20130603
Wiczlino;pl;20130603
Gdañsk;pl;20130604
Osowa;pl;20130606
Chwaszczyno;pl;20130606
Kielno;pl;20130606
Koleczkowo;pl;20130606
Bieszkowice;pl;20130606
Wiczlino;pl;20130606
Gdañsk;pl;20130607
Matarnia;pl;20130607
Rêbiechowo;pl;20130607
Barniewice;pl;20130607
Gdañsk;pl;20130608
Matarnia;pl;20130608
Le¼no;pl;20130608
Pêpowo;pl;20130608
Miszewo;pl;20130608
Chwaszczyno;pl;20130608
Osowa;pl;20130609
Chwaszczyno;pl;20130609
Koleczkowo;pl;20130609
Wiczlino;pl;20130609
Osowa;pl;20130610
Matarnia;pl;20130610
Osowa;pl;20130612
Matarnia;pl;20130612
Osowa;pl;20130613
Chwaszczyno;pl;20130613
Koleczkowo;pl;20130613
Wiczlino;pl;20130613
Prabuty;pl;20130615
Kwidzyn;pl;20130615
Gurcz;pl;20130615
Piek³o;pl;20130615
M±towyWielkie;pl;20130615
Tczew;pl;20130615
Pszczó³ki;pl;20130615
PruszczGdañski;pl;20130615
Gdañsk;pl;20130615
Osowa;pl;20130616
Chwaszczyno;pl;20130616
Koleczkowo;pl;20130616
Wiczlino;pl;20130616
Osowa;pl;20130618
Matarnia;pl;20130618
Matarnia;pl;20130619
Osowa;pl;20130619
